날짜,종가,오픈,고가,저가,거래량,변동 %
2021-08-31,134.05,134.14,134.28,133.97,13.61K,-0.06%
2021-08-30,134.13,133.91,134.19,133.86,1.42K,0.17%
2021-08-28,133.89,133.89,133.89,133.89,-,0.00%
2021-08-27,133.89,133.52,133.97,133.42,2.42M,0.22%
2021-08-26,133.59,133.61,133.69,133.38,11.57K,-0.02%
2021-08-25,133.63,133.94,134.05,133.55,14.80K,-0.27%
2021-08-24,133.98,134.2,134.23,133.92,13.50K,-0.17%
2021-08-23,134.22,134.14,134.27,133.94,6.39K,0.05%
2021-08-21,134.16,134.16,134.16,134.16,-,0.02%
2021-08-20,134.13,134.3,134.44,134.06,1.03M,-0.15%
2021-08-19,134.33,134.22,134.53,134.17,8.91K,0.14%
2021-08-18,134.14,134.22,134.31,133.91,14.01K,-0.09%
2021-08-17,134.27,134.23,134.61,134.16,8.52K,-0.05%
2021-08-16,134.33,134.13,134.56,134.06,15.92K,0.17%
2021-08-14,134.09,134.09,134.09,134.09,-,0.10%
2021-08-13,133.95,133.52,134.09,133.47,935.07K,0.37%
2021-08-12,133.45,133.59,133.78,133.41,9.48K,-0.09%
2021-08-11,133.58,133.52,133.91,133.3,12.81K,0.02%
2021-08-10,133.55,133.7,133.86,133.47,12.38K,-0.18%
2021-08-09,133.78,133.91,134.2,133.66,12.18K,-0.13%
2021-08-07,133.95,133.95,133.95,133.95,-,-0.03%
2021-08-06,134,134.42,134.47,133.89,1.51M,-0.37%
2021-08-05,134.5,134.83,134.91,134.39,8.18K,-0.24%
2021-08-04,134.83,134.98,135.44,134.63,12.70K,-0.13%
2021-08-03,135,134.91,135.19,134.78,7.60K,0.00%
2021-08-02,135,134.53,135.16,134.45,8.16K,0.41%
2021-07-30,134.45,134.19,134.59,134.19,1.67M,0.17%
2021-07-29,134.22,134.45,134.5,134.09,14.02K,-0.03%
2021-07-28,134.27,134.39,134.56,134.08,1.56M,-0.15%
2021-07-27,134.47,134.11,134.56,134.09,1.20M,0.20%
2021-07-26,134.2,134.19,134.59,134.06,1.07M,0.05%
2021-07-23,134.14,134.13,134.22,133.94,916.47K,-0.08%
2021-07-22,134.25,134.05,134.47,133.86,1.45M,0.10%
2021-07-21,134.11,134.53,134.83,133.98,1.91M,-0.42%
2021-07-20,134.67,134.59,135.22,134.44,2.19M,-0.01%
2021-07-19,134.69,133.84,134.8,133.81,2.25M,0.68%
2021-07-16,133.78,133.78,133.84,133.45,1.06M,-0.01%
2021-07-15,133.8,133.5,133.88,133.44,1.50M,0.26%
2021-07-14,133.45,132.97,133.53,132.94,1.47M,0.35%
2021-07-13,132.98,133.41,133.56,132.97,2.02M,-0.32%
2021-07-12,133.41,133.39,133.64,133.27,1.35M,-0.01%
2021-07-09,133.42,133.8,133.81,133.38,1.21M,-0.35%
2021-07-08,133.89,133.58,134.09,133.52,1.93M,0.26%
2021-07-07,133.55,133.34,133.7,133.2,1.85M,0.25%
2021-07-06,133.22,132.75,133.39,132.58,1.95M,0.42%
2021-07-05,132.66,132.74,132.79,132.66,-,-0.06%
2021-07-04,132.74,132.77,132.77,132.71,-,0.05%
2021-07-02,132.67,132.38,132.8,132.23,1.30M,0.31%
2021-07-01,132.27,132.31,132.47,132.19,1.12M,-0.18%
2021-06-30,132.5,132.28,132.56,132.19,1.72M,0.18%
2021-06-29,132.27,132.25,132.3,132.02,1.04M,0.00%
2021-06-28,132.27,131.92,132.33,131.89,966.67K,0.31%
2021-06-25,131.86,132.11,132.27,131.77,1.25M,-0.24%
2021-06-24,132.17,132.16,132.28,132.03,1.22M,-0.01%
2021-06-23,132.19,132.39,132.47,132.11,1.30M,-0.13%
2021-06-22,132.36,132.17,132.44,132.02,1.38M,-0.53%
2021-06-21,133.06,133.36,133.55,132.61,9.79K,-0.07%
2021-06-18,133.16,132.84,133.25,132.69,3.52K,0.19%
2021-06-17,132.91,132.56,133.05,132.48,8.41K,0.15%
2021-06-16,132.7,133.47,133.55,132.53,5.33K,-0.55%
2021-06-15,133.44,133.47,133.59,133.38,3.56K,0.01%
2021-06-14,133.42,133.77,133.8,133.38,8.43K,-0.21%
2021-06-11,133.7,133.94,134.06,133.66,16.82K,-0.07%
2021-06-10,133.8,133.67,133.98,133.25,9.92K,0.12%
2021-06-09,133.64,133.3,133.78,133.3,20.35K,0.21%
2021-06-08,133.36,133.06,133.45,133.06,11.24K,0.25%
2021-06-07,133.03,133.09,133.09,132.95,4.59K,-0.07%
2021-06-04,133.13,132.55,133.14,132.5,16.68K,0.45%
2021-06-03,132.53,132.86,132.89,132.52,13.06K,-0.25%
2021-06-02,132.86,132.72,132.92,132.67,13.75K,0.09%
2021-06-01,132.73,132.73,132.81,132.56,47.31K,0.71%
2021-05-31,131.8,131.79,131.87,131.7,-,0.00%
2021-05-30,131.8,131.81,131.84,131.8,-,-0.80%
2021-05-28,132.86,132.69,132.97,132.56,180.70K,0.13%
2021-05-27,132.69,132.84,132.94,132.56,985.34K,-0.16%
2021-05-26,132.91,132.98,133.06,132.83,2.85M,-0.05%
2021-05-25,132.97,132.63,133.05,132.59,4.05M,0.26%
2021-05-24,132.63,132.53,132.69,132.47,2.37M,0.14%
2021-05-21,132.44,132.5,132.63,132.38,1.70M,-0.04%
2021-05-20,132.48,132.09,132.53,132.03,1.62M,0.34%
2021-05-19,132.03,132.39,132.58,131.94,2.04M,-0.27%
2021-05-18,132.39,132.25,132.45,132.23,998.22K,0.04%
2021-05-17,132.34,132.42,132.67,132.25,1.19M,-0.05%
2021-05-14,132.41,132.22,132.53,132.19,1.61M,0.17%
2021-05-13,132.19,131.92,132.31,131.84,1.90M,0.20%
2021-05-12,131.92,132.45,132.56,131.88,2.49M,-0.40%
2021-05-11,132.45,132.61,132.73,132.39,1.57M,-0.12%
2021-05-10,132.61,132.7,132.95,132.56,1.41M,-0.11%
2021-05-07,132.75,132.58,133.52,132.55,2.83M,0.06%
2021-05-06,132.67,132.63,132.75,132.52,1.37M,0.09%
2021-05-05,132.55,132.42,132.67,132.17,1.45M,0.09%
2021-05-04,132.42,132.33,132.73,132.16,1.99M,0.07%
2021-05-03,132.33,132.05,132.5,131.83,1.54M,0.22%
2021-04-30,132.03,131.97,132.14,131.81,2.00M,0.04%
2021-04-29,131.98,132.17,132.17,131.58,1.63M,-0.08%
2021-04-28,132.09,132.02,132.2,131.72,1.71M,0.05%
2021-04-27,132.03,132.36,132.39,131.95,1.42M,-0.26%
2021-04-26,132.38,132.39,132.5,132.16,1.35M,-0.05%
2021-04-23,132.44,132.64,132.73,132.31,1.17M,-0.08%
2021-04-22,132.55,132.53,132.77,132.28,1.47M,0.01%
2021-04-21,132.53,132.58,132.64,132.36,1.26M,-0.02%
2021-04-20,132.56,132.2,132.61,131.98,1.41M,0.25%
2021-04-19,132.23,132.34,132.56,132.05,1.21M,-0.11%
2021-04-16,132.38,132.39,132.55,132.19,1.49M,-0.21%
2021-04-15,132.66,131.91,132.69,131.83,2.24M,0.56%
2021-04-14,131.92,132.11,132.19,131.78,1.34M,-0.12%
2021-04-13,132.08,131.7,132.13,131.38,1.75M,0.34%
2021-04-12,131.63,131.73,131.89,131.53,1.18M,-0.08%
2021-04-09,131.73,132.05,132.08,131.47,1.57M,-0.20%
2021-04-08,132,131.66,132.09,131.66,1.17M,0.13%
2021-04-07,131.83,131.67,131.95,131.58,1.41M,0.11%
2021-04-06,131.69,131.28,131.73,131.11,1.39M,0.44%
2021-04-05,131.11,130.95,131.27,130.8,919.10K,0.12%
2021-04-02,130.95,131.47,131.63,130.92,522.05K,-0.36%
2021-04-01,131.42,130.98,131.55,130.91,1.59M,0.37%
2021-03-31,130.94,131.3,131.3,130.91,2.35M,-0.19%
2021-03-30,131.19,131.39,131.42,130.81,1.89M,-0.13%
2021-03-29,131.36,131.64,131.98,131.3,1.45M,-0.31%
2021-03-26,131.77,131.95,132.13,131.63,1.49M,-0.28%
2021-03-25,132.14,132.13,132.3,131.89,2.05M,0.04%
2021-03-24,132.09,132.02,132.28,131.81,1.69M,0.13%
2021-03-23,131.92,131.48,132.09,131.44,1.56M,-0.62%
2021-03-22,132.75,132.63,132.78,132.63,4.55K,0.30%
2021-03-19,132.36,132.53,132.8,132.31,10.74K,-0.06%
