DATE,NASDAQ,S&P,CBOE,Exchange rate,futures2y,futures10y
2011-09-01,"2,546.00","1,204.42",31.82,"1,064.40",110.28,130.61
2011-09-02,"2,480.30","1,173.97",33.92,"1,065.60",110.25,131.3
2011-09-05,,,,"1,069.60",110.27,
2011-09-06,"2,473.80","1,165.24",37.0,"1,074.65",110.27,131.22
2011-09-07,"2,548.90","1,198.62",33.38,"1,069.65",110.27,130.89
2011-09-08,"2,529.10","1,185.90",34.32,"1,076.00",110.29,131.23
2011-09-09,"2,468.00","1,154.23",38.52,"1,077.50",110.33,131.77
2011-09-12,"2,495.10","1,162.27",38.59,"1,077.25",110.25,131.47
2011-09-13,"2,532.10","1,172.87",36.91,"1,077.25",110.26,131.06
2011-09-14,"2,572.60","1,188.68",34.6,"1,107.15",110.29,130.89
2011-09-15,"2,607.10","1,209.11",31.97,"1,114.00",110.3,130.41
2011-09-16,"2,622.30","1,216.01",30.98,"1,112.50",110.34,130.48
2011-09-19,"2,612.80","1,204.09",32.73,"1,139.95",110.37,131.42
2011-09-20,"2,590.20","1,202.09",32.86,"1,144.50",110.35,131.34
2011-09-21,"2,538.20","1,166.76",37.32,"1,149.85",110.27,131.67
2011-09-22,"2,455.70","1,129.56",41.35,"1,179.85",110.25,131.75
2011-09-23,"2,483.20","1,136.43",41.25,"1,165.50",110.23,130.97
2011-09-26,"2,516.70","1,162.95",39.02,"1,182.00",110.2,130.34
2011-09-27,"2,546.80","1,175.38",37.71,"1,169.80",110.18,129.56
2011-09-28,"2,491.60","1,151.06",41.08,"1,175.10",110.16,129.67
2011-09-29,"2,480.80","1,160.40",38.84,"1,174.55",110.16,129.98
2011-09-30,"2,415.40","1,131.42",42.96,"1,181.10",110.16,130.09
2011-10-03,"2,335.80","1,099.23",45.45,"1,180.50",110.14,130.98
2011-10-04,"2,404.80","1,123.95",40.82,"1,198.90",110.12,130.95
2011-10-05,"2,460.50","1,144.03",37.81,"1,187.00",110.1,130.11
2011-10-06,"2,506.80","1,164.97",36.27,"1,183.95",110.08,129.52
2011-10-07,"2,479.40","1,155.46",36.2,"1,171.00",110.02,128.89
2011-10-10,"2,566.10","1,194.89",33.02,"1,167.95",109.98,127.59
2011-10-11,"2,583.00","1,195.54",32.86,"1,171.50",109.99,128.23
2011-10-12,"2,604.70","1,207.25",31.26,"1,165.00",110.04,127.92
2011-10-13,"2,620.20","1,203.66",30.7,"1,158.75",110.06,128.44
2011-10-14,"2,667.90","1,224.58",28.24,"1,156.10",110.11,128.12
2011-10-17,"2,614.90","1,200.86",33.39,"1,148.50",110.09,128.72
2011-10-18,"2,657.40","1,225.38",31.56,"1,149.75",110.09,128.83
2011-10-19,"2,604.00","1,209.88",34.44,"1,134.00",110.1,128.84
2011-10-20,"2,598.60","1,215.39",34.78,"1,147.50",110.1,128.7
2011-10-21,"2,637.50","1,238.25",31.32,"1,147.35",110.09,128.66
2011-10-24,"2,699.40","1,254.19",29.26,"1,132.55",110.08,128.34
2011-10-25,"2,638.40","1,229.05",32.22,"1,131.05",110.13,129.12
2011-10-26,"2,650.70","1,242.00",29.86,"1,133.50",110.07,128.58
2011-10-27,"2,738.60","1,284.59",25.46,"1,106.60",110.02,127.31
2011-10-28,"2,737.10","1,285.09",24.53,"1,103.00",110.07,128.09
2011-10-31,"2,684.40","1,253.30",29.96,"1,112.35",110.14,129.06
2011-11-01,"2,607.00","1,218.28",34.77,"1,122.30",110.19,130.25
2011-11-02,"2,640.00","1,237.90",32.74,"1,122.15",110.21,130.31
2011-11-03,"2,698.00","1,261.15",30.5,"1,127.65",110.2,130.05
2011-11-04,"2,686.10","1,253.23",30.16,"1,110.75",110.22,130.25
2011-11-07,"2,695.30","1,261.12",29.85,"1,116.25",110.2,130.55
2011-11-08,"2,727.50","1,275.92",27.48,"1,114.55",110.2,130.05
2011-11-09,"2,621.60","1,229.10",36.16,"1,119.10",110.22,130.81
2011-11-10,"2,625.10","1,239.69",32.81,"1,132.35",110.22,130.34
2011-11-11,"2,678.80","1,263.85",30.04,"1,126.60",110.17,129.78
2011-11-14,"2,657.20","1,251.78",31.13,"1,127.30",110.22,130.45
2011-11-15,"2,686.20","1,257.81",31.22,"1,129.00",110.2,130.33
2011-11-16,"2,639.60","1,236.91",33.51,"1,136.65",110.17,130.5
2011-11-17,"2,588.00","1,216.13",34.51,"1,133.65",110.16,130.83
2011-11-18,"2,572.50","1,215.65",32.0,"1,139.25",110.12,130.3
2011-11-21,"2,523.10","1,192.98",32.91,"1,143.75",110.16,130.58
2011-11-22,"2,521.30","1,188.04",31.97,"1,144.65",110.2,130.8
2011-11-23,"2,460.10","1,161.79",33.98,"1,160.70",110.18,131.22
2011-11-24,,,,"1,155.65",110.2,
2011-11-25,"2,441.50","1,158.67",34.47,"1,162.50",110.16,130.66
2011-11-28,"2,527.30","1,192.55",32.13,"1,153.00",110.2,130.72
2011-11-29,"2,515.50","1,195.19",30.64,"1,140.00",110.19,130.47
2011-11-30,"2,620.30","1,246.96",27.8,"1,140.55",110.2,130.16
