날짜,종가,오픈,고가,저가,거래량,변동 %
2021-08-31,"15,259.20","15,262.90","15,279.00","15,202.70",981.94M,-0.04%
2021-08-30,"15,265.90","15,165.90","15,288.10","15,165.10",807.58M,0.90%
2021-08-27,"15,129.50","14,969.80","15,144.50","14,966.50",857.20M,1.23%
2021-08-26,"14,945.80","15,025.20","15,059.60","14,939.60",698.67M,-0.64%
2021-08-25,"15,041.90","15,039.00","15,059.40","15,011.60",760.11M,0.15%
2021-08-24,"15,019.80","14,978.10","15,034.90","14,965.50",737.23M,0.52%
2021-08-23,"14,942.70","14,777.00","14,963.50","14,777.00",782.67M,1.55%
2021-08-20,"14,714.70","14,571.50","14,722.20","14,571.50",828.73M,1.19%
2021-08-19,"14,541.80","14,423.20","14,610.80","14,423.20",841.84M,0.11%
2021-08-18,"14,525.90","14,636.20","14,697.30","14,516.30",764.92M,-0.89%
2021-08-17,"14,656.20","14,670.60","14,716.90","14,550.90",797.61M,-0.93%
2021-08-16,"14,793.80","14,771.50","14,794.70","14,610.00",774.04M,-0.20%
2021-08-13,"14,822.90","14,825.10","14,850.60","14,797.20",774.68M,0.04%
2021-08-12,"14,816.30","14,751.40","14,824.30","14,698.90",783.88M,0.35%
2021-08-11,"14,765.10","14,834.40","14,842.50","14,692.40",787.41M,-0.16%
2021-08-10,"14,788.10","14,887.70","14,894.60","14,754.50",781.07M,-0.49%
2021-08-09,"14,860.20","14,855.80","14,883.80","14,802.70",801.12M,0.16%
2021-08-06,"14,835.80","14,864.20","14,890.20","14,788.60",817.60M,-0.40%
2021-08-05,"14,895.10","14,794.10","14,896.50","14,776.00",842.72M,0.78%
2021-08-04,"14,780.50","14,747.20","14,812.40","14,734.10",875.56M,0.13%
2021-08-03,"14,761.30","14,714.00","14,762.60","14,584.10",831.95M,0.55%
2021-08-02,"14,681.10","14,758.60","14,770.40","14,665.70",752.76M,0.06%
2021-07-30,"14,672.70","14,615.90","14,728.80","14,615.90",788.21M,-0.71%
2021-07-29,"14,778.30","14,771.20","14,833.70","14,761.40",760.01M,0.11%
